# type, px, py, pz, sx, sy, sz, ry
# --- Wall (0:î†) ---,,,,,,,
0,22.8,1.2,67.2,13.3,2.8,2.4,0
0,38.2,1.2,28,2,3.3,10.6,0.5708
0,-31.2,1.2,17.5,2.4,2.8,10.6,0.06
0,-83.8,1.2,-28.2,2.4,2.8,10.6,0.05
0,53,1.3,-26.6,2.7,3.3,9.6,1.0854
0,48.5,1.3,-88,13.3,2.8,2.4,0
,,,,,,,
# --- Cylinder (1:ã^éóâ~íå) ---,,,,,,,
# sz(âúçsÇ´)ÇÃóÒÇÕégÇÌÇ»Ç¢ÇÃÇ≈ 0.0,,,,,,,
1,-20.9,1,-52.9,4.9,6.2,0,24
1,-34.5,1,-60,9.8,6.2,0,24
1,-73.1,1,52.2,5.2,6.2,0,24
1,-73.4,1,39.5,7.2,10.5,0,24
1,85.8,1,28.5,5.2,6.2,0,24
,,,,,,,
# äOï«,,,,,,,
1,233.8,50,127.5,5.2,6.2,0,24
